name,alg,sol,time,opt_sol,diff,71/60opt,71/60diff
N3C2W4_B,GA,140,24,112,28,133,-7
N3C2W4_C,GA,159,25,132,27,156,-3
N3C2W4_D,GA,149,24,114,35,135,-14
N3C2W4_E,GA,138,23,110,28,130,-8
N3C2W4_F,GA,144,24,115,29,136,-8
N3C2W4_G,GA,154,24,122,32,144,-10
N3C2W4_H,GA,141,23,113,28,134,-7
N3C2W4_I,GA,146,24,115,31,136,-10
N3C2W4_J,GA,154,24,120,34,142,-12
N3C2W4_K,GA,151,24,117,34,138,-13
N3C2W4_L,GA,149,24,116,33,137,-12
N3C2W4_M,GA,152,24,120,32,142,-10
N3C2W4_N,GA,155,23,117,38,138,-17
N3C2W4_O,GA,150,23,113,37,134,-16
N3C2W4_P,GA,150,23,122,28,144,-6
N3C2W4_Q,GA,153,28,118,35,140,-13
N3C2W4_R,GA,156,29,123,33,146,-10
N3C2W4_S,GA,150,28,118,32,140,-10
N3C2W4_T,GA,151,25,119,32,141,-10
N3C3W1_A,GA,83,14,66,17,78,-5
N3C3W1_B,GA,93,15,71,22,84,-9
N3C3W1_C,GA,89,14,69,20,82,-7
N3C3W1_D,GA,81,13,63,18,75,-6
N3C3W1_E,GA,88,14,68,20,80,-8
N3C3W1_F,GA,88,17,69,19,82,-6
N3C3W1_G,GA,81,17,65,16,77,-4
N3C3W1_H,GA,87,16,69,18,82,-5
N3C3W1_I,GA,89,14,68,21,80,-9
N3C3W1_J,GA,84,14,65,19,77,-7
N3C3W1_K,GA,80,18,63,17,75,-5
N3C3W1_L,GA,87,18,68,19,80,-7
N3C3W1_M,GA,91,18,71,20,84,-7
N3C3W1_N,GA,87,14,69,18,82,-5
N3C3W1_O,GA,84,19,66,18,78,-6
N3C3W1_P,GA,95,19,72,23,85,-10
N3C3W1_Q,GA,96,19,73,23,86,-10
N3C3W1_R,GA,85,18,66,19,78,-7
N3C3W1_S,GA,86,18,68,18,80,-6
N3C3W1_T,GA,86,17,70,16,83,-3
N3C3W2_A,GA,108,20,84,24,99,-9
N3C3W2_B,GA,108,20,81,27,96,-12
N3C3W2_C,GA,103,15,82,21,97,-6
N3C3W2_D,GA,100,19,79,21,93,-7
N3C3W2_E,GA,101,19,79,22,93,-8
N3C3W2_F,GA,101,20,81,20,96,-5
N3C3W2_G,GA,104,19,81,23,96,-8
N3C3W2_H,GA,109,21,82,27,97,-12
N3C3W2_I,GA,101,20,79,22,93,-8
N3C3W2_J,GA,106,18,83,23,98,-8
N3C3W2_K,GA,108,21,83,25,98,-10
N3C3W2_L,GA,107,17,82,25,97,-10
N3C3W2_M,GA,110,20,83,27,98,-12
N3C3W2_N,GA,98,20,77,21,91,-7
N3C3W2_O,GA,106,20,82,24,97,-9
N3C3W2_P,GA,104,15,80,24,95,-9
N3C3W2_Q,GA,96,19,76,20,90,-6
N3C3W2_R,GA,101,19,79,22,93,-8
N3C3W2_S,GA,103,19,80,23,95,-8
N3C3W2_T,GA,103,17,79,24,93,-10
N3C3W4_A,GA,117,22,89,28,105,-12
N3C3W4_B,GA,110,21,88,22,104,-6
N3C3W4_C,GA,116,21,88,28,104,-12
N3C3W4_D,GA,115,18,87,28,103,-12
N3C3W4_E,GA,109,21,85,24,101,-8
N3C3W4_F,GA,110,20,84,26,99,-11
N3C3W4_G,GA,123,23,94,29,111,-12
N3C3W4_H,GA,105,15,84,21,99,-6
N3C3W4_I,GA,121,21,92,29,109,-12
N3C3W4_J,GA,110,18,88,22,104,-6
N3C3W4_K,GA,116,21,89,27,105,-11
N3C3W4_L,GA,114,21,90,24,107,-7
N3C3W4_M,GA,112,18,88,24,104,-8
N3C3W4_N,GA,114,16,87,27,103,-11
N3C3W4_O,GA,111,22,87,24,103,-8
N3C3W4_P,GA,109,18,86,23,102,-7
N3C3W4_Q,GA,113,21,87,26,103,-10
N3C3W4_R,GA,112,17,87,25,103,-9
N3C3W4_S,GA,105,21,84,21,99,-6
N3C3W4_T,GA,108,16,85,23,101,-7
N4C1W1_A,GA,313,47,240,73,284,-29
N4C1W1_B,GA,343,49,262,81,310,-33
N4C1W1_C,GA,310,47,241,69,285,-25
N4C1W1_D,GA,317,55,246,71,291,-26
N4C1W1_E,GA,341,54,272,69,322,-19
N4C1W1_F,GA,337,49,265,72,314,-23
N4C1W1_G,GA,334,53,259,75,306,-28
